Release_ID,Commits,Bugs_Reported,Critical_Bugs,Test_Coverage,Failed_Test_Cases,Code_Churn,Cyclomatic_Complexity,Files_Changed,Developer_Experience,Security_Vulnerabilities,Build_Time_Minutes,Deployment_Frequency,Risk_Level
R0102,480,25,7,94.7,21,9055,15,10,6.9,2,42,10,High
R0103,347,30,6,85.4,14,5049,17,50,12.9,0,20,13,Medium
R0104,312,11,4,98.7,9,459,30,36,0.6,6,48,2,High
R0105,486,19,7,91.6,9,3870,27,29,9.7,4,21,5,High
R0106,341,3,0,68.6,14,646,28,94,2.4,2,25,14,Medium
R0107,109,6,2,89.6,11,8797,37,117,4.5,1,21,16,Medium
R0108,432,9,5,90.4,14,1333,14,97,14.5,6,48,13,Medium
R0109,453,25,8,71.1,25,6564,5,34,8.3,3,28,9,High
R0110,319,12,5,59.8,7,7824,6,80,13.3,4,25,20,Medium
R0111,133,20,1,83.0,14,5051,31,15,2.5,0,24,16,Medium
R0112,79,3,3,94.0,4,6467,34,48,10.2,5,49,18,Medium
R0113,234,18,2,94.0,20,1722,36,79,6.4,2,7,12,Medium
R0114,131,14,7,96.8,11,1727,28,70,13.6,5,27,2,High
R0115,223,8,3,97.6,14,1601,18,83,9.8,0,8,11,Low
R0116,144,4,3,58.0,24,9180,18,76,3.6,6,19,11,High
R0117,416,4,0,67.2,4,2229,39,33,12.1,0,47,1,Low
R0118,87,0,0,89.8,7,9747,25,3,3.0,0,13,14,Low
R0119,289,3,1,76.0,24,6031,37,76,2.1,4,19,20,High
R0120,42,23,8,68.3,20,610,8,62,12.8,3,48,4,High
R0121,271,22,7,58.2,2,5377,14,9,2.3,4,45,19,High
R0122,300,22,5,71.8,19,8792,23,59,7.8,3,11,4,High
R0123,456,20,8,86.7,6,7146,33,114,3.8,2,57,15,High
R0124,224,13,1,68.8,10,4276,28,20,10.5,3,9,3,Medium
R0125,445,2,1,74.0,23,6205,13,72,1.4,4,40,11,Medium
R0126,363,3,3,70.6,21,7029,8,37,9.2,2,11,19,Medium
R0127,279,6,2,83.9,7,1873,27,109,8.6,0,53,9,Medium
R0128,313,7,6,92.2,24,9221,6,78,14.0,6,49,9,High
R0129,34,5,4,85.9,9,5667,27,1,3.1,1,41,13,Medium
R0130,55,4,0,59.0,16,3624,29,54,7.1,1,28,10,Medium
R0131,389,10,1,93.9,4,2679,8,87,1.7,3,47,14,Medium
R0132,268,19,7,73.2,6,8494,12,45,6.7,2,48,19,Medium
R0133,269,16,4,57.0,12,9919,8,1,3.5,1,54,5,High
R0134,411,8,4,69.4,0,8249,32,23,2.4,4,50,8,High
R0135,276,17,5,58.2,23,793,32,3,7.2,0,60,11,High
R0136,314,13,6,86.2,13,4843,12,52,0.8,2,15,20,Medium
R0137,255,26,5,58.9,3,4086,32,76,6.3,0,30,10,High
R0138,401,10,3,69.7,5,1351,37,82,2.2,4,17,12,Medium
R0139,199,23,2,65.4,4,4293,17,23,9.2,6,53,3,High
R0140,110,30,7,75.4,18,9594,33,88,13.9,4,46,20,High
R0141,185,27,5,61.6,2,7782,33,81,4.9,2,42,2,High
R0142,200,16,1,68.7,14,716,8,48,12.6,0,46,3,Low
R0143,334,19,8,71.9,18,9181,7,58,13.7,4,46,7,High
R0144,184,19,7,77.1,1,7481,11,104,13.5,2,50,3,Medium
R0145,278,20,2,56.7,22,7272,33,68,8.1,1,28,12,High
R0146,489,9,6,73.0,10,9895,8,102,9.6,2,9,11,Medium
R0147,68,17,6,67.5,23,9974,14,43,1.7,5,14,12,High
R0148,178,30,6,60.7,22,1488,24,72,6.0,6,26,5,High
R0149,363,22,8,59.1,21,7037,37,47,0.8,2,16,7,High
R0150,194,30,7,63.4,4,2638,9,38,12.7,0,37,18,Medium
R0151,447,23,8,56.7,10,2247,29,20,2.9,6,49,20,High
R0152,434,28,2,86.7,1,6831,28,87,10.9,3,44,10,Medium
R0153,405,23,7,65.3,7,5170,35,116,12.6,2,48,19,High
R0154,245,14,4,89.2,16,8741,31,21,12.3,6,43,5,High
R0155,466,8,0,83.2,11,9185,11,92,12.8,6,12,10,Medium
R0156,62,24,2,67.0,16,2514,32,12,14.2,1,57,15,Medium
R0157,472,11,0,73.3,12,8324,28,31,6.1,0,28,8,Medium
R0158,34,10,1,91.9,20,5593,14,18,1.1,6,35,5,High
R0159,408,22,7,74.7,0,1398,6,33,3.6,1,40,20,Medium
R0160,290,13,1,89.2,7,5034,12,7,4.0,5,55,20,Medium
R0161,254,2,1,91.8,15,9876,39,3,9.7,4,20,5,Medium
R0162,169,13,0,82.1,7,9449,31,24,10.1,0,38,12,Low
R0163,54,30,8,78.9,25,8416,40,3,6.2,3,7,13,High
R0164,211,8,0,70.7,2,5749,20,94,10.0,0,54,19,Low
R0165,396,24,5,60.9,11,9045,26,105,9.8,6,54,15,High
R0166,376,15,2,90.7,2,7598,7,38,3.4,6,17,2,Medium
R0167,181,29,4,77.7,17,7856,21,5,11.4,1,23,12,Medium
R0168,461,24,0,93.1,10,4576,12,103,5.8,3,52,15,Medium
R0169,478,30,6,69.9,5,8229,36,48,13.9,4,22,3,High
R0170,392,13,1,73.9,5,9037,23,42,2.0,2,47,10,Medium
R0171,176,14,6,62.3,14,5859,33,6,11.0,2,44,14,High
R0172,160,20,0,58.3,20,6755,28,66,12.1,5,15,1,High
R0173,93,27,7,56.5,2,3966,28,47,6.1,4,7,20,High
R0174,98,21,7,96.7,11,7373,9,74,2.5,2,30,11,High
R0175,352,8,3,97.3,0,3148,36,67,6.1,4,12,9,Medium
R0176,416,8,7,64.4,19,4778,36,26,2.3,6,9,15,High
R0177,108,28,7,98.9,25,5336,27,91,1.4,4,23,10,High
R0178,455,5,2,89.9,16,3773,12,26,12.0,1,55,16,Low
R0179,33,11,8,80.2,14,9138,13,79,13.3,0,24,13,Medium
R0180,387,23,7,78.1,24,6808,9,17,14.6,5,9,15,High
R0181,258,21,8,70.2,24,9132,16,99,14.5,3,37,2,High
R0182,445,3,3,61.7,5,2753,25,120,10.8,2,38,10,Medium
R0183,453,2,2,63.6,17,4596,13,81,4.9,4,10,17,Medium
R0184,348,5,2,62.5,19,5631,7,106,13.0,0,7,19,Medium
R0185,155,20,3,88.7,13,596,36,114,9.6,2,46,10,Medium
R0186,267,7,6,68.1,2,1081,15,57,6.5,3,18,11,Medium
R0187,330,4,4,92.9,10,5758,30,17,11.5,4,40,4,Medium
R0188,183,7,7,60.4,14,4161,14,13,1.2,3,60,20,High
R0189,234,7,2,90.8,18,5223,17,98,2.8,4,34,16,Medium
R0190,470,9,7,56.0,12,8381,34,31,3.6,2,8,2,High
R0191,164,15,7,67.6,0,1861,32,18,13.3,5,28,13,Medium
R0192,207,1,1,57.3,17,3289,28,71,4.7,3,37,15,Medium
R0193,411,17,4,91.3,19,2046,13,13,6.2,6,26,18,Medium
R0194,500,11,2,63.8,16,6676,37,6,1.2,1,50,11,High
R0195,431,15,8,75.1,19,8546,13,42,14.0,2,15,13,High
R0196,335,23,4,81.1,16,8451,39,63,10.8,2,35,1,High
R0197,208,10,1,98.1,18,5140,6,77,7.4,5,55,19,Medium
R0198,315,7,0,80.7,5,8689,29,19,12.4,1,7,19,Low
R0199,378,3,3,55.8,10,6961,14,53,10.5,3,37,20,Medium
R0200,491,15,0,86.1,16,3497,40,42,15.0,3,38,13,Medium
R0201,180,30,2,75.2,17,5708,39,46,10.3,6,51,9,High
R0202,332,15,3,97.1,8,9243,24,29,14.2,2,54,10,Medium
R0203,380,6,6,68.9,11,9283,22,37,2.3,5,39,13,High
R0204,478,12,5,97.0,25,2499,23,6,4.7,5,10,12,High
R0205,493,14,4,87.9,6,3410,39,35,14.0,5,22,5,Medium
R0206,75,19,3,65.7,21,8800,19,82,3.9,0,31,11,High
R0207,387,15,1,85.0,4,184,40,119,2.8,5,35,16,Medium
R0208,353,6,4,69.1,20,1069,10,84,8.8,4,52,2,High
R0209,487,29,2,73.4,5,695,30,101,7.7,5,60,10,High
R0210,468,1,0,68.1,19,1858,26,37,7.1,5,39,17,Medium
R0211,272,28,2,92.4,14,4570,17,104,2.1,1,51,15,Medium
R0212,351,8,2,55.6,10,4933,17,23,9.4,5,30,14,Medium
R0213,283,10,1,72.6,3,3127,13,62,5.2,1,5,9,Low
R0214,216,7,7,88.2,10,5047,5,34,10.0,5,20,2,Medium
R0215,361,3,3,68.5,12,8333,24,89,2.2,2,28,20,Medium
R0216,133,7,2,76.0,14,6221,31,90,8.5,3,53,18,Medium
R0217,430,21,3,88.5,21,9861,10,68,7.0,5,28,3,High
R0218,489,18,1,57.7,17,8381,17,74,8.3,1,25,17,Medium
R0219,246,3,3,86.5,15,1589,37,58,12.2,3,13,17,Medium
R0220,232,14,0,79.6,21,5149,6,51,4.2,0,52,7,Medium
R0221,316,2,0,73.6,22,1144,39,8,14.1,0,35,2,Medium
R0222,166,13,2,88.8,24,6987,28,115,6.0,6,29,13,High
R0223,61,21,8,60.9,11,2043,16,69,6.2,1,51,8,High
R0224,447,0,0,98.1,14,9020,32,69,6.0,1,20,15,Medium
R0225,197,4,4,63.3,23,1948,7,104,10.1,4,54,1,High
R0226,143,6,1,59.4,1,7414,8,32,11.2,3,33,8,Medium
R0227,296,6,0,61.2,9,3936,25,74,9.2,5,57,11,Medium
R0228,141,9,2,98.4,16,3721,31,39,4.5,4,42,6,Medium
R0229,340,21,6,79.5,1,5742,29,101,8.1,5,31,14,High
R0230,96,9,6,63.1,17,7858,20,109,3.8,6,50,5,High
R0231,432,14,0,79.7,13,9230,38,18,6.1,2,18,11,Medium
R0232,351,2,2,92.3,2,8875,17,7,4.4,5,43,20,Medium
R0233,40,27,1,63.3,24,9726,40,28,7.5,6,26,10,High
R0234,485,0,0,96.2,23,2022,35,118,4.0,4,50,7,Medium
R0235,223,29,3,79.3,24,4737,29,60,8.2,2,24,9,High
R0236,204,16,7,75.5,25,7792,25,118,3.4,2,31,2,High
R0237,308,27,3,87.6,0,4372,40,120,9.0,5,31,10,High
R0238,98,6,5,65.1,18,4126,36,71,10.0,5,26,9,High
R0239,410,26,7,97.5,20,8137,34,22,11.1,2,15,5,High
R0240,388,17,7,63.1,17,1062,38,5,12.7,0,57,2,High
R0241,411,0,0,61.0,20,3891,9,91,2.7,1,37,15,Medium
R0242,211,1,1,84.0,0,208,39,71,6.5,0,38,9,Low
R0243,294,9,0,77.1,22,7154,16,14,13.8,4,14,8,Medium
R0244,118,19,8,66.1,11,4479,30,11,5.9,3,34,19,High
R0245,144,22,3,68.2,2,619,10,52,6.0,4,35,2,Medium
R0246,346,0,0,58.6,13,5527,11,115,8.2,0,19,7,Medium
R0247,481,27,7,66.9,2,4693,39,73,10.0,1,59,11,High
R0248,28,30,3,80.8,24,6625,9,39,2.9,1,41,13,High
R0249,366,28,8,69.6,24,2392,10,65,11.3,2,8,4,High
R0250,243,7,1,70.0,24,9858,30,100,5.2,5,22,15,High
R0251,271,7,5,79.3,12,7175,16,88,9.0,3,10,20,Medium
R0252,171,25,3,86.4,2,4490,14,49,10.8,5,14,13,Medium
R0253,182,11,1,59.0,9,7386,28,98,4.4,1,10,6,Medium
R0254,240,14,8,79.4,13,1792,6,12,5.6,0,43,20,Medium
R0255,421,10,6,55.5,13,6453,10,93,13.6,1,41,17,Medium
R0256,106,21,6,62.5,8,5033,22,64,2.6,1,32,9,High
R0257,235,9,7,89.4,11,4223,20,93,9.6,4,44,7,High
R0258,254,3,2,68.4,12,5543,29,103,13.0,3,26,14,Medium
R0259,437,26,2,68.2,19,3390,35,41,3.1,3,25,10,High
R0260,396,22,7,97.6,25,4071,25,49,4.6,6,30,12,High
R0261,78,29,3,81.1,17,3047,40,4,14.3,3,50,7,High
R0262,244,25,4,91.6,2,6803,36,18,9.7,1,21,5,Medium
R0263,386,13,6,58.3,19,7951,30,69,7.8,6,49,14,High
R0264,298,1,1,85.9,25,8896,10,14,11.6,5,47,12,Medium
R0265,105,20,0,79.8,20,6647,26,102,6.7,0,11,9,Medium
R0266,133,16,8,79.6,22,9524,19,58,5.9,3,54,19,High
R0267,373,16,2,70.2,0,8009,11,38,6.5,0,12,5,Low
R0268,198,9,5,75.0,6,8637,35,45,7.4,3,51,15,High
R0269,183,2,2,57.0,22,1985,6,109,5.5,0,48,6,Medium
R0270,496,23,3,77.7,17,2723,26,72,6.7,3,19,13,Medium
R0271,342,5,2,83.2,13,6581,6,95,9.4,1,33,19,Low
R0272,239,12,0,86.0,6,4660,9,74,2.0,6,39,6,Medium
R0273,207,10,3,75.1,8,8119,38,82,5.0,3,44,13,High
R0274,320,3,3,70.5,14,2926,24,118,9.4,0,48,5,Medium
R0275,180,3,3,68.4,5,6216,14,66,6.1,4,13,19,Medium
R0276,216,13,2,76.4,17,2938,40,22,7.6,1,16,11,Medium
R0277,451,14,0,93.1,0,8039,13,25,12.3,4,37,16,Low
R0278,229,21,7,73.3,14,8106,15,11,8.7,6,53,8,High
R0279,169,1,1,64.9,9,2855,34,73,11.3,6,36,18,Medium
R0280,281,3,1,66.8,17,6110,39,106,11.5,6,51,15,High
R0281,299,6,6,59.5,20,4155,24,112,15.0,3,21,12,High
R0282,461,26,1,74.3,3,3982,18,104,11.2,5,27,20,Medium
R0283,343,13,2,82.1,25,3485,18,104,1.4,2,39,9,High
R0284,325,17,2,69.2,22,4894,23,74,4.4,6,37,4,High
R0285,89,30,6,95.4,8,2178,13,32,2.6,2,58,8,High
R0286,409,26,6,76.5,18,4502,31,49,7.1,5,55,3,High
R0287,226,16,4,85.6,11,7549,36,42,8.9,6,54,3,High
R0288,394,14,5,92.4,25,8856,30,28,14.5,6,18,16,High
R0289,157,10,4,69.9,18,2239,36,101,5.5,5,53,2,High
R0290,43,3,3,55.7,5,7330,34,1,14.9,3,17,5,Medium
R0291,471,20,4,62.0,8,1629,28,33,1.7,5,46,6,High
R0292,46,12,4,86.9,24,3936,32,84,1.8,0,5,7,Medium
R0293,264,2,2,81.1,16,7391,5,2,10.6,6,12,14,Medium
R0294,375,4,4,58.1,12,1563,11,14,5.0,2,13,13,Medium
R0295,416,26,2,83.2,21,2440,9,68,8.7,4,46,6,Medium
R0296,245,11,3,82.6,4,6845,33,111,3.7,0,13,4,Medium
R0297,321,23,6,70.5,13,5252,13,32,4.5,0,20,18,Medium
R0298,327,19,4,89.3,22,539,24,27,8.0,4,17,13,Medium
R0299,171,20,0,89.5,25,4021,36,50,2.1,3,45,20,High
R0300,56,16,0,98.4,10,2262,29,111,12.7,3,28,18,Medium
R0301,369,5,5,97.0,24,1295,6,76,1.5,2,18,2,Medium
R0302,492,1,1,77.3,20,8309,31,55,10.7,0,45,18,Medium
R0303,295,19,2,67.2,9,1394,37,118,3.4,6,14,18,High
R0304,187,12,1,68.6,13,4009,8,32,1.8,3,12,15,Medium
R0305,333,19,0,68.6,23,2977,12,2,10.8,5,5,6,Medium
R0306,274,30,5,78.0,25,4347,15,48,2.3,6,60,9,High
R0307,395,28,1,88.9,0,5588,32,35,8.1,2,50,19,Medium
R0308,341,2,2,75.0,11,1008,36,110,8.7,2,15,9,Medium
R0309,415,3,1,65.0,16,142,7,110,13.0,1,7,16,Low
R0310,206,12,2,62.9,1,9158,31,29,5.2,3,51,11,Medium
R0311,158,26,1,80.1,3,8325,8,23,3.7,4,7,13,Medium
R0312,55,28,7,93.1,24,5190,25,12,8.5,0,28,7,High
R0313,169,18,4,87.5,7,7700,28,76,14.6,6,54,7,High
R0314,395,28,8,88.5,7,2566,5,120,6.4,1,39,12,Medium
R0315,345,26,0,96.8,0,6264,24,14,3.5,1,31,16,Low
R0316,50,4,4,59.1,7,8615,31,90,13.5,3,52,3,High
R0317,317,3,3,60.9,12,1326,8,56,10.1,1,20,10,Medium
R0318,153,27,5,95.7,12,5445,25,58,4.4,0,17,5,Medium
R0319,419,24,1,61.8,5,7465,34,41,6.4,4,27,7,High
R0320,251,9,7,66.7,3,1581,15,104,10.4,6,50,20,High
R0321,40,6,5,61.5,22,4166,27,51,7.9,5,24,9,High
R0322,439,5,0,96.9,14,9208,40,32,1.9,0,56,5,Medium
R0323,82,0,0,91.5,7,2241,17,106,6.3,5,45,3,Medium
R0324,318,18,4,95.4,2,457,9,26,13.6,3,56,5,Medium
R0325,67,28,5,60.4,14,929,15,119,8.8,6,51,13,High
R0326,274,0,0,85.1,5,5899,18,117,3.2,2,33,5,Low
R0327,37,19,3,83.5,15,6850,40,62,1.4,2,29,5,High
R0328,234,6,6,66.0,25,9007,6,49,11.8,2,35,18,High
R0329,420,15,5,95.2,16,5369,29,35,3.1,2,43,8,High
R0330,35,28,4,57.6,15,8774,27,99,9.0,1,15,4,High
R0331,146,21,3,66.7,25,1016,19,74,12.8,6,29,12,High
R0332,498,26,2,62.7,18,5310,27,117,9.1,5,49,12,High
R0333,310,18,2,79.8,6,8164,39,40,3.0,0,10,2,Medium
R0334,139,19,3,55.9,15,111,26,118,9.4,6,13,11,High
R0335,387,5,5,57.6,4,9711,14,100,2.1,4,60,12,High
R0336,57,11,6,80.8,10,5044,25,18,14.6,5,32,16,Medium
R0337,352,10,2,86.1,17,5946,19,86,9.0,1,29,10,Medium
R0338,395,22,4,60.6,23,129,30,109,14.9,4,7,6,High
R0339,328,10,3,83.1,3,8229,14,43,11.3,1,27,11,Low
R0340,105,20,1,91.2,21,5600,33,2,4.3,1,49,3,Medium
R0341,199,8,1,86.7,1,6423,33,94,6.6,1,31,16,Low
R0342,471,12,5,79.0,3,7955,19,21,7.0,6,59,2,High
R0343,170,0,0,66.5,3,1315,26,22,13.4,1,51,3,Low
R0344,300,30,1,69.9,19,8009,6,56,14.2,1,43,14,Medium
R0345,100,1,1,69.6,6,6805,40,93,13.9,4,21,10,Medium
R0346,172,7,1,57.2,18,9105,36,20,1.3,0,32,3,High
R0347,170,26,7,63.8,0,3490,15,82,4.7,0,35,4,High
R0348,177,25,6,75.7,21,4441,10,83,8.4,1,28,13,High
R0349,209,5,5,57.0,14,7719,21,29,12.6,4,8,5,High
R0350,405,22,1,58.8,11,8971,31,97,9.1,4,8,13,High
R0351,439,16,6,97.5,21,7879,20,61,4.8,3,59,2,High
R0352,277,18,8,90.2,21,2515,12,97,7.0,1,18,7,High
R0353,84,1,1,58.4,21,7233,17,106,9.6,6,43,9,High
R0354,183,29,1,58.8,17,6610,40,42,12.9,4,34,1,High
R0355,422,22,8,89.4,3,6890,14,19,8.7,4,53,4,High
R0356,493,3,1,89.6,17,5733,31,34,6.1,3,41,20,Medium
R0357,262,1,1,67.1,4,6681,7,51,13.4,2,49,8,Low
R0358,45,23,7,95.5,11,431,26,105,12.0,2,22,16,Medium
R0359,459,22,1,97.8,7,2301,24,96,6.9,6,25,9,Medium
R0360,393,13,1,63.3,6,6771,36,98,8.0,2,57,2,High
R0361,283,25,2,57.9,22,8403,30,18,11.8,4,41,1,High
R0362,108,6,3,91.8,7,641,34,7,13.8,5,17,9,Medium
R0363,208,26,7,77.2,20,2129,6,31,5.9,4,33,6,High
R0364,465,15,8,70.4,5,4337,10,37,0.9,0,15,19,Medium
R0365,419,30,3,92.7,20,3788,18,35,9.9,4,6,1,High
R0366,262,29,2,83.5,19,238,19,33,9.3,2,50,9,Medium
R0367,236,28,6,92.5,14,4228,18,60,4.9,4,57,20,High
R0368,223,18,1,55.3,21,6231,40,83,9.1,2,24,4,High
R0369,266,2,2,98.5,20,5427,22,34,10.0,5,24,7,Medium
R0370,96,16,3,94.6,25,9930,30,85,5.1,1,51,1,High
R0371,355,15,4,66.4,13,6728,29,95,1.0,5,41,7,High
R0372,195,23,3,85.2,20,7894,27,65,4.9,1,58,18,High
R0373,112,9,1,75.7,23,4337,40,98,13.7,5,26,3,High
R0374,133,11,3,87.7,9,6989,26,48,4.3,2,34,4,Medium
R0375,260,1,1,75.8,6,8299,12,112,10.4,4,24,14,Medium
R0376,47,27,2,61.0,6,5714,31,73,13.4,3,14,11,Medium
R0377,461,22,2,89.3,15,5549,16,41,9.7,0,33,9,Medium
R0378,127,24,2,80.4,5,8121,10,17,9.4,5,32,13,Medium
R0379,239,30,7,71.9,1,8845,17,94,5.9,0,25,17,Medium
R0380,117,0,0,82.6,7,3807,27,40,2.4,3,37,19,Low
R0381,176,5,1,91.2,9,4864,34,94,8.0,4,26,14,Medium
R0382,474,21,2,70.1,15,5985,17,22,14.2,6,30,1,High
